Theta   Phi   Ki
49.00   95.00   0.0700059000
49.00   98.00   0.0152085000
49.00   101.00   -0.0133649000
49.00   104.00   -0.0362927000
49.00   107.00   -0.0573201000
49.00   110.00   -0.0728779000
49.00   113.00   -0.0610920000
49.00   116.00   -0.0452489000
49.00   119.00   -0.0252636000
49.00   122.00   -0.0408589000
49.00   125.00   -0.0653963000
49.00   128.00   -0.0787063000
49.00   131.00   -0.0661770000
49.00   134.00   -0.0612026000
49.00   137.00   -0.0438918000
49.00   140.00   -0.0079059700
49.00   143.00   0.0609395000
49.00   146.00   0.0996753000
49.00   149.00   0.1224590000
49.00   152.00   0.1178250000
49.00   155.00   0.0868941000
49.00   158.00   0.0380774000
49.00   161.00   -0.0025260500
49.00   164.00   -0.0206039000
49.00   167.00   0.0105108000
49.00   170.00   -0.0016734100
49.00   173.00   -0.0164981000
49.00   176.00   -0.0036326500
49.00   179.00   0.0195804000
49.00   182.00   0.0301489000
49.00   185.00   -0.0135154000
49.00   188.00   -0.0476417000
49.00   191.00   -0.0510733000
49.00   194.00   -0.0435789000
49.00   197.00   -0.0390847000
49.00   200.00   -0.0058015000
49.00   203.00   0.0305759000
49.00   206.00   0.0779484000
49.00   209.00   0.0947253000
49.00   212.00   0.1018030000
49.00   215.00   0.0700066000
49.00   218.00   0.0152093000
49.00   221.00   -0.0133646000
49.00   224.00   -0.0362925000
49.00   227.00   -0.0573199000
49.00   230.00   -0.0728777000
49.00   233.00   -0.0610921000
49.00   236.00   -0.0452491000
49.00   239.00   -0.0252637000
49.00   242.00   -0.0408588000
49.00   245.00   -0.0653966000
49.00   248.00   -0.0787062000
49.00   251.00   -0.0661767000
49.00   254.00   -0.0612025000
49.00   257.00   -0.0438921000
49.00   260.00   -0.0079068000
49.00   263.00   0.0609388000
49.00   266.00   0.0996755000
49.00   269.00   0.1224590000
49.00   272.00   0.1178240000
49.00   275.00   0.0868942000
49.00   278.00   0.0380780000
49.00   281.00   -0.0025263900
49.00   284.00   -0.0206037000
52.00   47.00   -0.0098756200
52.00   50.00   -0.0147713000
52.00   53.00   -0.0254387000
52.00   56.00   -0.0219897000
52.00   59.00   -0.0158769000
52.00   62.00   -0.0226565000
52.00   65.00   -0.0315124000
52.00   68.00   -0.0430661000
52.00   71.00   -0.0445333000
52.00   74.00   -0.0407809000
52.00   77.00   -0.0093768100
52.00   80.00   0.0146686000
52.00   83.00   0.0451812000
52.00   86.00   0.0663743000
52.00   89.00   0.0736499000
52.00   92.00   0.0779091000
52.00   95.00   0.0630343000
52.00   98.00   0.0453003000
52.00   101.00   0.0176609000
52.00   104.00   -0.0207700000
52.00   107.00   -0.0472604000
52.00   110.00   -0.0559916000
52.00   113.00   -0.0539361000
52.00   116.00   -0.0487141000
52.00   119.00   -0.0392451000
52.00   122.00   -0.0394112000
52.00   125.00   -0.0639872000
52.00   128.00   -0.0645918000
52.00   131.00   -0.0612202000
52.00   134.00   -0.0492913000
52.00   137.00   -0.0201898000
52.00   140.00   0.0072005300
52.00   143.00   0.0503877000
52.00   146.00   0.0801502000
52.00   149.00   0.0872901000
52.00   152.00   0.0948856000
52.00   155.00   0.0868268000
52.00   158.00   0.0571366000
52.00   161.00   0.0181469000
52.00   164.00   -0.0100654000
52.00   167.00   -0.0098759500
52.00   170.00   -0.0147711000
52.00   173.00   -0.0254385000
52.00   176.00   -0.0219897000
52.00   179.00   -0.0158769000
52.00   182.00   -0.0226566000
52.00   185.00   -0.0315123000
52.00   188.00   -0.0430665000
52.00   191.00   -0.0445333000
52.00   194.00   -0.0407807000
52.00   197.00   -0.0093775100
52.00   200.00   0.0146678000
52.00   203.00   0.0451815000
52.00   206.00   0.0663740000
52.00   209.00   0.0736498000
52.00   212.00   0.0779091000
52.00   215.00   0.0630347000
52.00   218.00   0.0453009000
52.00   221.00   0.0176612000
52.00   224.00   -0.0207698000
52.00   227.00   -0.0472600000
52.00   230.00   -0.0559914000
52.00   233.00   -0.0539361000
52.00   236.00   -0.0487143000
52.00   239.00   -0.0392451000
52.00   242.00   -0.0394111000
52.00   245.00   -0.0639874000
52.00   248.00   -0.0645917000
52.00   251.00   -0.0612199000
52.00   254.00   -0.0492911000
52.00   257.00   -0.0201904000
52.00   260.00   0.0071998000
52.00   263.00   0.0503875000
52.00   266.00   0.0801504000
52.00   269.00   0.0872898000
52.00   272.00   0.0948854000
52.00   275.00   0.0868269000
52.00   278.00   0.0571374000
52.00   281.00   0.0181468000
52.00   284.00   -0.0100651000
55.00   47.00   0.0207052000
55.00   50.00   0.0056547600
55.00   53.00   -0.0090671300
55.00   56.00   -0.0269570000
55.00   59.00   -0.0464107000
55.00   62.00   -0.0399677000
55.00   65.00   -0.0320656000
55.00   68.00   -0.0152847000
55.00   71.00   -0.0126356000
55.00   74.00   -0.0009402230
55.00   77.00   0.0113212000
55.00   80.00   0.0356992000
55.00   83.00   0.0347649000
55.00   86.00   0.0204531000
55.00   89.00   0.0150646000
55.00   92.00   0.0199681000
55.00   95.00   0.0326156000
55.00   98.00   0.0339063000
55.00   101.00   0.0367391000
55.00   104.00   0.0148557000
55.00   107.00   -0.0176428000
55.00   110.00   -0.0331078000
55.00   113.00   -0.0456232000
55.00   116.00   -0.0532537000
55.00   119.00   -0.0633237000
55.00   122.00   -0.0666632000
55.00   125.00   -0.0547259000
55.00   128.00   -0.0388592000
55.00   131.00   -0.0235627000
55.00   134.00   -0.0206457000
55.00   137.00   0.0062528400
55.00   140.00   0.0261580000
55.00   143.00   0.0236639000
55.00   146.00   0.0203556000
55.00   149.00   0.0267248000
55.00   152.00   0.0387104000
55.00   155.00   0.0443220000
55.00   158.00   0.0515559000
55.00   161.00   0.0491714000
55.00   164.00   0.0215604000
55.00   167.00   0.0207050000
55.00   170.00   0.0056548700
55.00   173.00   -0.0090671600
55.00   176.00   -0.0269570000
55.00   179.00   -0.0464107000
55.00   182.00   -0.0399677000
55.00   185.00   -0.0320655000
55.00   188.00   -0.0152851000
55.00   191.00   -0.0126354000
55.00   194.00   -0.0009399820
55.00   197.00   0.0113207000
55.00   200.00   0.0356989000
55.00   203.00   0.0347651000
55.00   206.00   0.0204531000
55.00   209.00   0.0150646000
55.00   212.00   0.0199681000
55.00   215.00   0.0326157000
55.00   218.00   0.0339065000
55.00   221.00   0.0367394000
55.00   224.00   0.0148558000
55.00   227.00   -0.0176426000
55.00   230.00   -0.0331077000
55.00   233.00   -0.0456231000
55.00   236.00   -0.0532537000
55.00   239.00   -0.0633238000
55.00   242.00   -0.0666632000
55.00   245.00   -0.0547263000
55.00   248.00   -0.0388589000
55.00   251.00   -0.0235625000
55.00   254.00   -0.0206456000
55.00   257.00   0.0062523200
55.00   260.00   0.0261574000
55.00   263.00   0.0236639000
55.00   266.00   0.0203556000
55.00   269.00   0.0267245000
55.00   272.00   0.0387103000
55.00   275.00   0.0443221000
55.00   278.00   0.0515564000
55.00   281.00   0.0491714000
55.00   284.00   0.0215607000
58.00   47.00   0.0355851000
58.00   50.00   0.0202789000
58.00   53.00   -0.0005601230
58.00   56.00   -0.0383342000
58.00   59.00   -0.0662468000
58.00   62.00   -0.0639074000
58.00   65.00   -0.0410391000
58.00   68.00   -0.0181481000
58.00   71.00   -0.0001389100
58.00   74.00   0.0183446000
58.00   77.00   0.0401156000
58.00   80.00   0.0332886000
58.00   83.00   0.0310793000
58.00   86.00   -0.0017012400
58.00   89.00   -0.0156385000
58.00   92.00   -0.0020657100
58.00   95.00   0.0156409000
58.00   98.00   0.0453154000
58.00   101.00   0.0574294000
58.00   104.00   0.0407901000
58.00   107.00   0.0097341400
58.00   110.00   -0.0149918000
58.00   113.00   -0.0345894000
58.00   116.00   -0.0677991000
58.00   119.00   -0.0968821000
58.00   122.00   -0.0765854000
58.00   125.00   -0.0459107000
58.00   128.00   -0.0294833000
58.00   131.00   -0.0191085000
58.00   134.00   0.0066307100
58.00   137.00   0.0285510000
58.00   140.00   0.0286462000
58.00   143.00   0.0126951000
58.00   146.00   -0.0056365300
58.00   149.00   -0.0214463000
58.00   152.00   -0.0003493740
58.00   155.00   0.0248154000
58.00   158.00   0.0512274000
58.00   161.00   0.0667345000
58.00   164.00   0.0534361000
58.00   167.00   0.0355850000
58.00   170.00   0.0202789000
58.00   173.00   -0.0005603010
58.00   176.00   -0.0383343000
58.00   179.00   -0.0662468000
58.00   182.00   -0.0639072000
58.00   185.00   -0.0410391000
58.00   188.00   -0.0181485000
58.00   191.00   -0.0001387140
58.00   194.00   0.0183448000
58.00   197.00   0.0401152000
58.00   200.00   0.0332885000
58.00   203.00   0.0310795000
58.00   206.00   -0.0017011500
58.00   209.00   -0.0156385000
58.00   212.00   -0.0020656300
58.00   215.00   0.0156408000
58.00   218.00   0.0453154000
58.00   221.00   0.0574297000
58.00   224.00   0.0407902000
58.00   227.00   0.0097345100
58.00   230.00   -0.0149917000
58.00   233.00   -0.0345892000
58.00   236.00   -0.0677989000
58.00   239.00   -0.0968821000
58.00   242.00   -0.0765854000
58.00   245.00   -0.0459111000
58.00   248.00   -0.0294829000
58.00   251.00   -0.0191084000
58.00   254.00   0.0066307200
58.00   257.00   0.0285504000
58.00   260.00   0.0286456000
58.00   263.00   0.0126954000
58.00   266.00   -0.0056366800
58.00   269.00   -0.0214466000
58.00   272.00   -0.0003493790
58.00   275.00   0.0248157000
58.00   278.00   0.0512278000
58.00   281.00   0.0667346000
58.00   284.00   0.0534365000
61.00   47.00   0.0520089000
61.00   50.00   0.0274702000
61.00   53.00   -0.0046308400
61.00   56.00   -0.0370295000
61.00   59.00   -0.0555704000
61.00   62.00   -0.0611630000
61.00   65.00   -0.0385424000
61.00   68.00   -0.0270671000
61.00   71.00   0.0020167200
61.00   74.00   0.0283447000
61.00   77.00   0.0258536000
61.00   80.00   0.0268831000
61.00   83.00   0.0256291000
61.00   86.00   0.0181674000
61.00   89.00   0.0032225500
61.00   92.00   0.0018970100
61.00   95.00   0.0194368000
61.00   98.00   0.0334674000
61.00   101.00   0.0397889000
61.00   104.00   0.0377790000
61.00   107.00   0.0169955000
61.00   110.00   -0.0137729000
61.00   113.00   -0.0389469000
61.00   116.00   -0.0725091000
61.00   119.00   -0.0974014000
61.00   122.00   -0.0801408000
61.00   125.00   -0.0514726000
61.00   128.00   -0.0247606000
61.00   131.00   -0.0127628000
61.00   134.00   0.0122744000
61.00   137.00   0.0077909100
61.00   140.00   0.0010933300
61.00   143.00   0.0169482000
61.00   146.00   0.0078636100
61.00   149.00   0.0024794900
61.00   152.00   0.0075487600
61.00   155.00   0.0258570000
61.00   158.00   0.0394047000
61.00   161.00   0.0502874000
61.00   164.00   0.0588157000
61.00   167.00   0.0520086000
61.00   170.00   0.0274703000
61.00   173.00   -0.0046310200
61.00   176.00   -0.0370294000
61.00   179.00   -0.0555705000
61.00   182.00   -0.0611630000
61.00   185.00   -0.0385424000
61.00   188.00   -0.0270675000
61.00   191.00   0.0020169000
61.00   194.00   0.0283449000
61.00   197.00   0.0258533000
61.00   200.00   0.0268830000
61.00   203.00   0.0256292000
61.00   206.00   0.0181674000
61.00   209.00   0.0032225800
61.00   212.00   0.0018970800
61.00   215.00   0.0194369000
61.00   218.00   0.0334675000
61.00   221.00   0.0397892000
61.00   224.00   0.0377792000
61.00   227.00   0.0169959000
61.00   230.00   -0.0137727000
61.00   233.00   -0.0389466000
61.00   236.00   -0.0725089000
61.00   239.00   -0.0974013000
61.00   242.00   -0.0801407000
61.00   245.00   -0.0514731000
61.00   248.00   -0.0247602000
61.00   251.00   -0.0127627000
61.00   254.00   0.0122745000
61.00   257.00   0.0077904200
61.00   260.00   0.0010927100
61.00   263.00   0.0169483000
61.00   266.00   0.0078634200
61.00   269.00   0.0024791400
61.00   272.00   0.0075487300
61.00   275.00   0.0258575000
61.00   278.00   0.0394052000
61.00   281.00   0.0502874000
61.00   284.00   0.0588160000
64.00   47.00   0.0546280000
64.00   50.00   0.0290204000
64.00   53.00   -0.0071551400
64.00   56.00   -0.0274691000
64.00   59.00   -0.0320023000
64.00   62.00   -0.0507475000
64.00   65.00   -0.0560018000
64.00   68.00   -0.0211237000
64.00   71.00   0.0193112000
64.00   74.00   0.0257365000
64.00   77.00   0.0134507000
64.00   80.00   0.0052296600
64.00   83.00   0.0151652000
64.00   86.00   0.0195043000
64.00   89.00   0.0077972700
64.00   92.00   0.0119727000
64.00   95.00   0.0211517000
64.00   98.00   0.0201082000
64.00   101.00   0.0200790000
64.00   104.00   0.0288602000
64.00   107.00   0.0270171000
64.00   110.00   -0.0118813000
64.00   113.00   -0.0514327000
64.00   116.00   -0.0634147000
64.00   119.00   -0.0671591000
64.00   122.00   -0.0716984000
64.00   125.00   -0.0628340000
64.00   128.00   -0.0217180000
64.00   131.00   0.0083809600
64.00   134.00   0.0087762300
64.00   137.00   -0.0135511000
64.00   140.00   -0.0098814000
64.00   143.00   0.0257305000
64.00   146.00   0.0169776000
64.00   149.00   0.0084204000
64.00   152.00   0.0195944000
64.00   155.00   0.0456722000
64.00   158.00   0.0343366000
64.00   161.00   0.0291710000
64.00   164.00   0.0451008000
64.00   167.00   0.0546277000
64.00   170.00   0.0290204000
64.00   173.00   -0.0071552300
64.00   176.00   -0.0274690000
64.00   179.00   -0.0320023000
64.00   182.00   -0.0507475000
64.00   185.00   -0.0560018000
64.00   188.00   -0.0211240000
64.00   191.00   0.0193113000
64.00   194.00   0.0257366000
64.00   197.00   0.0134504000
64.00   200.00   0.0052295800
64.00   203.00   0.0151654000
64.00   206.00   0.0195042000
64.00   209.00   0.0077972600
64.00   212.00   0.0119727000
64.00   215.00   0.0211519000
64.00   218.00   0.0201083000
64.00   221.00   0.0200792000
64.00   224.00   0.0288603000
64.00   227.00   0.0270175000
64.00   230.00   -0.0118810000
64.00   233.00   -0.0514325000
64.00   236.00   -0.0634146000
64.00   239.00   -0.0671591000
64.00   242.00   -0.0716985000
64.00   245.00   -0.0628345000
64.00   248.00   -0.0217176000
64.00   251.00   0.0083811800
64.00   254.00   0.0087765500
64.00   257.00   -0.0135513000
64.00   260.00   -0.0098819800
64.00   263.00   0.0257306000
64.00   266.00   0.0169774000
64.00   269.00   0.0084200800
64.00   272.00   0.0195946000
64.00   275.00   0.0456726000
64.00   278.00   0.0343371000
64.00   281.00   0.0291710000
64.00   284.00   0.0451009000
67.00   47.00   0.0578438000
67.00   50.00   0.0660128000
67.00   53.00   0.0441200000
67.00   56.00   -0.0060440400
67.00   59.00   -0.0242749000
67.00   62.00   -0.0286045000
67.00   65.00   -0.0555542000
67.00   68.00   -0.0492895000
67.00   71.00   -0.0123960000
67.00   74.00   0.0310418000
67.00   77.00   0.0306393000
67.00   80.00   0.0060637700
67.00   83.00   -0.0268512000
67.00   86.00   -0.0125380000
67.00   89.00   0.0011450700
67.00   92.00   0.0168928000
67.00   95.00   0.0156558000
67.00   98.00   0.0044682600
67.00   101.00   -0.0088543300
67.00   104.00   0.0051381200
67.00   107.00   0.0271354000
67.00   110.00   0.0356896000
67.00   113.00   0.0056628000
67.00   116.00   -0.0456696000
67.00   119.00   -0.0596199000
67.00   122.00   -0.0524782000
67.00   125.00   -0.0647243000
67.00   128.00   -0.0593264000
67.00   131.00   -0.0102524000
67.00   134.00   0.0190656000
67.00   137.00   0.0189687000
67.00   140.00   -0.0062198700
67.00   143.00   -0.0120333000
67.00   146.00   0.0078176000
67.00   149.00   0.0173761000
67.00   152.00   0.0336751000
67.00   155.00   0.0282513000
67.00   158.00   0.0205137000
67.00   161.00   0.0084688000
67.00   164.00   0.0193101000
67.00   167.00   0.0578434000
67.00   170.00   0.0660127000
67.00   173.00   0.0441200000
67.00   176.00   -0.0060438100
67.00   179.00   -0.0242751000
67.00   182.00   -0.0286045000
67.00   185.00   -0.0555542000
67.00   188.00   -0.0492897000
67.00   191.00   -0.0123960000
67.00   194.00   0.0310421000
67.00   197.00   0.0306393000
67.00   200.00   0.0060638200
67.00   203.00   -0.0268511000
67.00   206.00   -0.0125381000
67.00   209.00   0.0011449100
67.00   212.00   0.0168927000
67.00   215.00   0.0156562000
67.00   218.00   0.0044682400
67.00   221.00   -0.0088541900
67.00   224.00   0.0051381300
67.00   227.00   0.0271358000
67.00   230.00   0.0356896000
67.00   233.00   0.0056629800
67.00   236.00   -0.0456692000
67.00   239.00   -0.0596199000
67.00   242.00   -0.0524783000
67.00   245.00   -0.0647246000
67.00   248.00   -0.0593263000
67.00   251.00   -0.0102525000
67.00   254.00   0.0190655000
67.00   257.00   0.0189690000
67.00   260.00   -0.0062201600
67.00   263.00   -0.0120334000
67.00   266.00   0.0078172600
67.00   269.00   0.0173759000
67.00   272.00   0.0336751000
67.00   275.00   0.0282517000
67.00   278.00   0.0205144000
67.00   281.00   0.0084689700
67.00   284.00   0.0193102000
70.00   47.00   0.1346450000
70.00   50.00   0.0986106000
70.00   53.00   0.0511462000
70.00   56.00   0.0422921000
70.00   59.00   0.0141859000
70.00   62.00   -0.0410082000
70.00   65.00   -0.0278652000
70.00   68.00   0.0101712000
70.00   71.00   0.0223265000
70.00   74.00   0.0273230000
70.00   77.00   -0.0109492000
70.00   80.00   -0.0641409000
70.00   83.00   -0.0667184000
70.00   86.00   -0.0264220000
70.00   89.00   0.0264014000
70.00   92.00   0.0126375000
70.00   95.00   -0.0421990000
70.00   98.00   -0.0482701000
70.00   101.00   -0.0180198000
70.00   104.00   0.0258081000
70.00   107.00   0.0355170000
70.00   110.00   0.0337495000
70.00   113.00   -0.0268850000
70.00   116.00   -0.0554278000
70.00   119.00   -0.0589722000
70.00   122.00   -0.0619313000
70.00   125.00   -0.0594522000
70.00   128.00   0.0122761000
70.00   131.00   0.0334114000
70.00   134.00   0.0328028000
70.00   137.00   -0.0032793800
70.00   140.00   -0.0440169000
70.00   143.00   -0.0402656000
70.00   146.00   -0.0083249500
70.00   149.00   0.0537563000
70.00   152.00   0.0292438000
70.00   155.00   -0.0171272000
70.00   158.00   -0.0388377000
70.00   161.00   0.0057253600
70.00   164.00   0.0385128000
70.00   167.00   0.1346450000
70.00   170.00   0.0986106000
70.00   173.00   0.0511462000
70.00   176.00   0.0422925000
70.00   179.00   0.0141857000
70.00   182.00   -0.0410084000
70.00   185.00   -0.0278653000
70.00   188.00   0.0101711000
70.00   191.00   0.0223266000
70.00   194.00   0.0273233000
70.00   197.00   -0.0109486000
70.00   200.00   -0.0641407000
70.00   203.00   -0.0667185000
70.00   206.00   -0.0264221000
70.00   209.00   0.0264013000
70.00   212.00   0.0126374000
70.00   215.00   -0.0421983000
70.00   218.00   -0.0482701000
70.00   221.00   -0.0180198000
70.00   224.00   0.0258082000
70.00   227.00   0.0355174000
70.00   230.00   0.0337498000
70.00   233.00   -0.0268848000
70.00   236.00   -0.0554274000
70.00   239.00   -0.0589722000
70.00   242.00   -0.0619312000
70.00   245.00   -0.0594528000
70.00   248.00   0.0122763000
70.00   251.00   0.0334118000
70.00   254.00   0.0328029000
70.00   257.00   -0.0032788000
70.00   260.00   -0.0440172000
70.00   263.00   -0.0402657000
70.00   266.00   -0.0083257600
70.00   269.00   0.0537560000
70.00   272.00   0.0292441000
70.00   275.00   -0.0171267000
70.00   278.00   -0.0388374000
70.00   281.00   0.0057252300
70.00   284.00   0.0385126000
