Theta   Phi   Ki
22.00   182.00   0.0124631000
22.00   185.00   -0.0002163820
22.00   188.00   -0.0052179600
22.00   191.00   -0.0050900700
22.00   194.00   -0.0061012800
22.00   197.00   -0.0026873500
22.00   200.00   0.0025786500
22.00   203.00   0.0095824400
22.00   206.00   0.0091106300
22.00   209.00   0.0086213600
22.00   212.00   0.0033246100
22.00   215.00   0.0047341600
22.00   218.00   -0.0018539800
22.00   221.00   0.0022278300
22.00   224.00   -0.0080938600
22.00   227.00   -0.0140041000
22.00   230.00   -0.0248559000
22.00   233.00   -0.0226605000
22.00   236.00   -0.0144958000
22.00   239.00   -0.0111404000
22.00   242.00   -0.0047540800
22.00   245.00   -0.0149238000
22.00   248.00   -0.0050308100
22.00   251.00   -0.0041102200
22.00   254.00   -0.0017472500
22.00   257.00   0.0068808000
22.00   260.00   0.0116554000
22.00   263.00   0.0119158000
22.00   266.00   0.0072611900
22.00   269.00   0.0100767000
22.00   272.00   0.0047258200
22.00   275.00   0.0016142200
22.00   278.00   0.0018890500
22.00   281.00   0.0040468000
22.00   284.00   -0.0056353500
25.00   47.00   0.0228449000
25.00   50.00   0.0122529000
25.00   53.00   0.0151810000
25.00   56.00   0.0163510000
25.00   59.00   0.0113589000
25.00   62.00   0.0015638900
25.00   65.00   -0.0112192000
25.00   68.00   -0.0104282000
25.00   71.00   -0.0107687000
25.00   74.00   -0.0102414000
25.00   77.00   -0.0069663800
25.00   80.00   0.0071745000
25.00   83.00   0.0102395000
25.00   86.00   0.0150825000
25.00   89.00   0.0150102000
25.00   92.00   0.0143894000
25.00   95.00   0.0118667000
25.00   98.00   0.0053360700
25.00   101.00   -0.0035948400
25.00   104.00   -0.0118514000
25.00   107.00   -0.0219467000
25.00   110.00   -0.0276672000
25.00   113.00   -0.0335356000
25.00   116.00   -0.0326667000
25.00   119.00   -0.0216863000
25.00   122.00   -0.0269385000
25.00   125.00   -0.0253339000
25.00   128.00   -0.0233319000
25.00   131.00   -0.0163251000
25.00   134.00   -0.0113087000
25.00   137.00   0.0058416000
25.00   140.00   0.0134123000
25.00   143.00   0.0164633000
25.00   146.00   0.0283312000
25.00   149.00   0.0198237000
25.00   152.00   0.0209873000
25.00   155.00   0.0167543000
25.00   158.00   0.0210669000
25.00   161.00   0.0072747800
25.00   164.00   -0.0009441620
25.00   167.00   0.0228448000
25.00   170.00   0.0122530000
25.00   173.00   0.0151810000
25.00   176.00   0.0163510000
25.00   179.00   0.0113588000
25.00   182.00   0.0015638400
25.00   185.00   -0.0112191000
25.00   188.00   -0.0104284000
25.00   191.00   -0.0107687000
25.00   194.00   -0.0102413000
25.00   197.00   -0.0069665100
25.00   200.00   0.0071743400
25.00   203.00   0.0102396000
25.00   206.00   0.0150826000
25.00   209.00   0.0150102000
25.00   212.00   0.0143894000
25.00   215.00   0.0118669000
25.00   218.00   0.0053362800
